player,Team,Role,bat_position_1.0,bat_position_2.0,bat_position_3.0,bat_position_4.0,bat_position_5.0,bat_position_6.0,bat_position_7.0,bat_position_8.0,bat_position_9.0,bat_position_10.0,bat_position_11.0,bat_position_DNB
SA Abbott,Sydney Sixers,BOWL,0,0,0,0,0,0,0,0,2,0,0,3
AC Agar,Perth Scorchers,BOWL,0,0,0,0,0,0,3,3,0,0,0,3
WA Agar,Sydney Thunder,BOWL,0,0,0,0,0,0,0,0,0,0,0,5
Finn Allen,Perth Scorchers,BAT,4,6,0,0,0,0,0,0,0,0,0,0
Fabian Allen,Adelaide Strikers,ALLR,0,0,0,0,0,0,1,0,0,0,0,0
Tom Alsop,Brisbane Heat,WK,0,0,0,0,1,3,0,0,0,0,0,0
Tom Andrews,Sydney Thunder,BOWL,0,0,0,0,0,0,0,0,3,0,0,3
CT Bancroft,Sydney Thunder,WK,2,0,2,0,0,0,0,0,0,0,0,0
XC Bartlett,Brisbane Heat,BOWL,0,0,0,0,0,0,0,5,0,0,0,4
JJ Bazley,Adelaide Strikers,ALLR,0,0,1,0,0,1,3,1,0,0,0,0
Mahli Beardman,Perth Scorchers,BOWL,0,0,0,0,0,0,0,0,0,0,1,1
JP Behrendorff,Perth Scorchers,BOWL,0,0,0,0,0,0,0,0,1,1,0,8
Jacob Bethell,Melbourne Renegades,ALLR,0,0,0,8,0,0,0,0,0,0,0,0
SW Billings,Sydney Thunder,WK,0,0,0,2,5,0,1,0,0,0,0,0
JM Bird,Sydney Sixers,BOWL,0,0,0,0,0,0,0,0,0,0,1,2
SM Boland,Melbourne Stars,BOWL,0,0,0,0,0,0,0,0,0,0,0,0
CJ Boyce,Adelaide Strikers,BOWL,0,0,0,0,0,0,0,0,0,2,0,5
J Brown,Melbourne Renegades,BAT,6,3,0,0,0,0,0,0,0,0,0,0
M Bryant,Brisbane Heat,BAT,0,0,0,1,5,3,0,0,0,0,0,0
Jordan Buckingham,Adelaide Strikers,BOWL,0,0,0,0,0,0,0,0,0,0,1,2
AT Carey,Adelaide Strikers,WK,1,0,2,0,0,0,0,0,0,0,0,0
Iain Carlisle,Hobart Hurricanes,BOWL,0,0,0,0,0,0,0,0,0,0,0,0
HWR Cartwright,Melbourne Stars,BAT,0,0,0,0,3,3,4,0,0,0,0,0
