player,Team,Price,Game_1,Game_2,Game_3,Game_4,Game_5,Game_6,Game_7,Game_8,Game_9,Game_10
MW Short,Adelaide Strikers,261100,41,62,53,120,,,,164,16,99
SPD Smith,Sydney Sixers,252300,,,,,,,,166,87,0
GJ Maxwell,Melbourne Stars,202700,,,40,60,17,40,65,113,135,141
W Sutherland,Melbourne Renegades,186300,99,118,63,42,24,16,166,48,41,19
DA Warner,Sydney Thunder,185500,17,37,29,116,74,70,,108,18,42
SH Johnson,Brisbane Heat,182800,,,148,13,51,,81,57,93,47
LR Morris,Perth Scorchers,181200,51,3,,54,74,98,66,,78,47
TS Rogers,Melbourne Renegades,180700,39,78,111,66,64,29,119,52,42,30
JP Behrendorff,Perth Scorchers,178900,78,67,60,57,88,38,99,45,49,89
BM Duckett,Melbourne Stars,174400,,,10,123,87,0,87,45,81,
J Overton,Adelaide Strikers,173300,99,61,103,131,3,68,60,37,102,
JM Vince,Sydney Sixers,172400,50,13,156,30,21,,78,,,
JM Bird,Sydney Sixers,171900,,,76,25,140,,,,,
SA Abbott,Sydney Sixers,170300,61,41,,,,,99,94,8,1
MJ Owen,Hobart Hurricanes,162900,20,151,28,68,72,,13,114,105,87
CA Lynn,Adelaide Strikers,159300,2,,24,19,1,123,74,72,,
AC Agar,Perth Scorchers,156600,40,32,50,101,12,,90,50,62,56
CJ Green,Sydney Thunder,156100,106,0,32,61,113,10,,32,154,0
JA Richardson,Perth Scorchers,154000,103,7,,,87,87,71,5,,
M Bryant,Brisbane Heat,152200,61,3,70,2,112,,107,18,4,12
CJ Jordan,Hobart Hurricanes,149200,0,11,63,114,28,,48,,,16
BJ Webster,Melbourne Stars,146200,19,47,3,,100,,,59,37,86
MT Steketee,Melbourne Stars,144500,,,,,,47,34,97,140,121
C Connolly,Perth Scorchers,144000,102,19,127,37,60,60,2,74,62,123
MG Neser,Brisbane Heat,143900,,,,,,,68,22,9,42
M Labuschagne,Brisbane Heat,143100,,,,,,,,,112,
BJ Dwarshuis,Sydney Sixers,142500,71,107,46,102,19,,13,75,67,1
Nikhil Chaudhary,Hobart Hurricanes,141100,2,1,43,100,36,,55,67,55,74
TK Curran,Melbourne Stars,140700,100,4,30,39,,,,,,28
MP Stoinis,Melbourne Stars,140300,37,96,46,24,27,96,59,57,19,90
XC Bartlett,Brisbane Heat,140100,90,50,9,50,137,,25,14,26,37
DR Sams,Sydney Thunder,139300,75,35,38,58,15,,,,,
HTRY Thornton,Adelaide Strikers,138800,52,56,50,4,47,106,27,,34,
Jacob Bethell,Melbourne Renegades,137600,,3,40,2,67,111,3,25,170,
MR Marsh,Perth Scorchers,137300,,,,,,,0,,,
JP Inglis,Perth Scorchers,136200,,64,14,,,,,,,
PI Walter,Brisbane Heat,135300,13,44,25,51,23,,,,,73
DJM Short,Adelaide Strikers,133200,,85,1,66,23,37,4,155,23,53
TH David,Hobart Hurricanes,132600,0,0,68,14,97,,103,50,41,49
AT Carey,Adelaide Strikers,131900,,,,,,,,13,18,62
DP Hughes,Sydney Sixers,131400,0,,,,,,,,,
UT Khawaja,Brisbane Heat,130200,,,,,,,,,58,
TM Head,Adelaide Strikers,130000,,,,,,,,,,
Usama Mir,Melbourne Stars,129200,,,,27,59,43,35,90,14,64
Finn Allen,Perth Scorchers,128800,6,4,0,20,85,113,49,15,19,35
NT Ellis,Hobart Hurricanes,127200,115,57,33,,20,,10,57,86,89
RP Meredith,Hobart Hurricanes,127100,28,112,1,62,38,,53,88,13,
JR Philippe,Sydney Sixers,126700,25,40,77,121,36,,18,39,18,0
M Wright,Hobart Hurricanes,126300,,,,,,,,,,
MT Renshaw,Brisbane Heat,125700,18,89,66,11,19,,63,59,65,85
AJ Hosein,Sydney Sixers,125500,,64,23,40,29,,5,,,
JS Paris,Melbourne Stars,125500,,,,,39,52,77,2,113,44
T Sangha,Sydney Thunder,124900,66,25,,,,,,,50,
Lockie Ferguson,Sydney Thunder,124500,95,50,52,10,8,86,,,,
H Kerr,Sydney Sixers,124400,30,,35,69,24,,80,23,42,3
PM Siddle,Melbourne Stars,124400,25,,77,18,48,33,49,61,76,1
A Zampa,Melbourne Renegades,124300,8,28,34,43,60,4,87,60,21,53
AI Ross,Adelaide Strikers,123900,37,55,40,8,30,6,72,79,53,6
WA Agar,Sydney Thunder,122500,,,102,104,4,24,,25,,
AJ Tye,Perth Scorchers,120600,34,,46,71,46,27,,2,,
SW Billings,Sydney Thunder,118300,29,35,147,40,13,20,,63,33,0
Ollie Pope,Adelaide Strikers,116600,,18,44,54,1,47,68,6,82,11
Fabian Allen,Adelaide Strikers,115700,33,,,,,,,,,
Hassan Khan,Melbourne Renegades,115000,30,,,,,,,,,
BR McDermott,Hobart Hurricanes,114700,20,15,103,44,17,,0,,,12
LJ Evans,Melbourne Renegades,113900,11,17,44,70,26,49,0,,,
JJ Peirson,Brisbane Heat,113100,97,18,11,34,,,,,,
F O'Neill,Melbourne Renegades,112700,11,114,80,10,6,,,90,40,18
L Pope,Adelaide Strikers,112700,35,95,61,33,0,47,43,44,42,13
MC Henriques,Sydney Sixers,111700,98,17,11,29,32,,23,112,15,0
MS Wade,Hobart Hurricanes,111400,5,,,35,57,,33,66,15,41
J Edwards,Sydney Sixers,111300,75,65,12,,37,,48,4,60,44
JM Clarke,Melbourne Stars,110600,10,42,,,,,,,,
Tom Andrews,Sydney Thunder,109900,,,36,29,37,44,,51,100,0
GS Sandhu,Melbourne Renegades,109200,,,,,,79,19,,,
Jafer Chohan,Sydney Sixers,107500,,,,,,,,,10,0
Shai Hope,Hobart Hurricanes,106700,13,38,62,4,11,,,,,
Tom Alsop,Brisbane Heat,105900,,,,,,,39,10,69,67
AJ Turner,Perth Scorchers,105300,47,59,50,57,63,0,8,101,4,31
MP Kuhnemann,Brisbane Heat,103800,29,13,42,1,2,,57,83,2,
B Doggett,Adelaide Strikers,102900,,,,,103,75,5,16,24,48
AF Milne,Melbourne Stars,102600,30,6,56,,,,,,,
CT Bancroft,Sydney Thunder,101100,6,100,31,18,0,,,,,
Tim Seifert,Melbourne Renegades,100000,85,92,53,19,4,27,35,46,24,15
NA McSweeney,Brisbane Heat,99200,,138,39,34,9,,17,68,21,39
Keaton Jennings,Perth Scorchers,98700,14,40,9,,,,,,,
M Kelly,Perth Scorchers,98700,,,48,49,,21,5,,,
CJ Boyce,Adelaide Strikers,98000,26,35,4,1,42,40,63,,,
KW Richardson,Melbourne Renegades,93500,31,16,27,43,6,,37,78,,
Waqar Salamkheil,Hobart Hurricanes,92200,0,25,23,51,43,,,,,
Matthew Hurst,Perth Scorchers,91500,24,6,,38,33,38,,,,
B Stanlake,Hobart Hurricanes,88900,26,21,33,63,25,,43,13,,
PG Dooley,Hobart Hurricanes,88000,,,,,,,,,,
J Brown,Melbourne Renegades,86800,47,23,12,27,101,6,,14,6,56
Rishad Hossain,Hobart Hurricanes,85000,,,,,,,,,,
SM Boland,Melbourne Stars,84700,,,,,,,,,,
JW Wells,Melbourne Renegades,84400,,,,,,60,0,,,
CP Jewell,Hobart Hurricanes,82900,,7,32,,,,,1,116,15
N McAndrew,Sydney Thunder,82800,3,20,,,,,,,68,0
JJS Sangha,Sydney Thunder,82300,,,59,,,,,,,
Sam Konstas,Sydney Thunder,80500,101,0,,,,,,14,68,9
Sherfane Rutherford,Sydney Thunder,79800,3,8,2,11,75,11,,,,
J Weatherald,Adelaide Strikers,79400,65,11,,,18,3,13,,,
M Gilkes,Sydney Thunder,79100,,,,23,43,45,,9,38,0
AM Hardie,Perth Scorchers,77100,,,,24,2,10,34,0,37,67
JC Silk,Sydney Sixers,69600,12,61,69,20,20,,11,10,13,0
KR Patterson,Sydney Sixers,69200,,,,67,9,,18,12,,
MJ Swepson,Brisbane Heat,69000,52,10,27,15,0,,14,46,34,5
BL Couch,Melbourne Stars,68600,28,1,,,12,,,,,
Matthew Spoors,Perth Scorchers,68100,,,30,,,1,,54,38,9
H McKenzie,Melbourne Stars,68100,11,31,,,,,,,,
T Murphy,Sydney Sixers,68100,4,1,77,55,16,,2,1,44,3
JA Davies,Sydney Sixers,66600,49,9,,,,,,9,,
P Hatzoglou,Hobart Hurricanes,65800,,,,56,,,14,11,0,
JP Wood,Brisbane Heat,65100,42,,,,,,2,34,,70
LC Hatcher,Sydney Thunder,64100,,,,,,,,,,
NR Hobson,Perth Scorchers,63700,62,1,8,92,0,36,12,12,20,25
SB Harper,Melbourne Stars,62600,11,61,58,12,14,28,41,4,0,28
W Prestwidge,Brisbane Heat,62400,12,44,,,14,,,,,
T Kelly,Adelaide Strikers,61400,,,,,,,,,,
HWR Cartwright,Melbourne Stars,61300,18,15,14,15,27,1,49,2,16,33
JJ Bazley,Adelaide Strikers,60400,67,16,48,2,,11,18,,,
S Fanning,Perth Scorchers,60200,,,,,,,,66,11,44
BAD Manenti,Sydney Sixers,58500,,,,,,,,,,
NM Lyon,Melbourne Renegades,58500,,,,,,,,,,
NJ Maddinson,Sydney Thunder,58500,,,,,,,,,,
JD Wildermuth,Brisbane Heat,58500,,,,,,,,,,
MW Harvey,Melbourne Renegades,58000,11,10,49,9,6,,,,,
HJ Nielsen,Adelaide Strikers,55600,,,,,,,,,,
C Kellaway,Melbourne Stars,53900,,1,,,,,,,,
Jordan Buckingham,Adelaide Strikers,52900,,,,,,,,38,31,5
Liam Scott,Adelaide Strikers,52300,,8,40,26,0,,,,,107
J Merlo,Melbourne Stars,51600,,,,8,3,,,,,
O Davies,Sydney Thunder,49300,28,57,0,10,3,20,,17,,
C Munro,Brisbane Heat,49100,,7,6,9,1,,23,0,,
MS Harris,Melbourne Renegades,46300,,,,,,,21,1,11,
J Fraser-McGurk,Melbourne Renegades,45400,46,5,12,26,1,12,0,19,17,140
Doug Warren,Melbourne Stars,44600,,,,4,,,,,,
CA Wakim,Hobart Hurricanes,43800,,,,,,,36,12,0,0
Harry Dixon,Melbourne Renegades,43400,,,,,,,,33,1,11
Iain Carlisle,Hobart Hurricanes,39500,,,,,,,,,,
Jake Doran,Hobart Hurricanes,39500,,,,,,,,7,18,
Mitchell Perry,Sydney Sixers,39500,,,,,,,,,,
Ryan Hadley,Sydney Thunder,39500,,,,,,,,,,
Mahli Beardman,Perth Scorchers,39500,,,,,,,,,6,103
TF Rogers,Melbourne Stars,39500,24,1,2,12,,6,1,,10,9
Will Salzmann,Sydney Thunder,39500,,,,,,,,,,
Xavier Crone,Melbourne Renegades,39500,,,,,,1,,,,
