Last_Name,First_Name,First_Name_Short,Full_Name,player,Price,Team,Role,Available,In_Team
Abbott,Sean,SA,Sean Abbott,SA Abbott,135700,Sydney Sixers,BOWL,1,0
Agar,Ashton,AC,Ashton Agar,AC Agar,123500,Perth Scorchers,BOWL,0,0
Agar,Wes,WA,Wes Agar,WA Agar,99700,Sydney Thunder,BOWL,0,0
Allen,Finn,,Finn Allen,Finn Allen,140700,Perth Scorchers,BAT,0,0
Allen,Fabian,,Fabian Allen,Fabian Allen,115700,Adelaide Strikers,ALLR,0,0
Alsop,Tom,,Tom Alsop,Tom Alsop,117500,Brisbane Heat,WK,1,0
Bancroft,Cameron,CT,Cameron Bancroft,CT Bancroft,96200,Sydney Thunder,WK,1,0
Bartlett,Xavier,XC,Xavier Bartlett,XC Bartlett,207400,Brisbane Heat,BOWL,1,0
Bazley,James,JJ,James Bazley,JJ Bazley,70000,Adelaide Strikers,ALLR,0,0
Beardman,Mahli,,Mahli Beardman,Mahli Beardman,39500,Perth Scorchers,BOWL,0,0
Behrendorff,Jason,JP,Jason Behrendorff,JP Behrendorff,166500,Perth Scorchers,BOWL,0,1
Bethell,Jacob,,Jacob Bethell,Jacob Bethell,108300,Melbourne Renegades,ALLR,1,0
Billings,Sam,SW,Sam Billings,SW Billings,111400,Sydney Thunder,WK,1,0
Bird,Jackson,JM,Jackson Bird,JM Bird,152100,Sydney Sixers,BOWL,0,0
Boland,Scott,SM,Scott Boland,SM Boland,84700,Melbourne Stars,BOWL,0,0
Boyce,Cameron,CJ,Cameron Boyce,CJ Boyce,116100,Adelaide Strikers,BOWL,0,0
Brown,Josh,J,Josh Brown,J Brown,110600,Melbourne Renegades,BAT,1,0
Bryant,Max,M,Max Bryant,M Bryant,108700,Brisbane Heat,BAT,1,0
Buckingham,Jordan,,Jordan Buckingham,Jordan Buckingham,39500,Adelaide Strikers,BOWL,0,0
Carey,Alex,AT,Alex Carey,AT Carey,167500,Adelaide Strikers,WK,0,0
Carlisle,Iain,,Iain Carlisle,Iain Carlisle,39500,Hobart Hurricanes,BOWL,0,0
Cartwright,Hilton,HWR,Hilton Cartwright,HWR Cartwright,95200,Melbourne Stars,BAT,0,1
Chaudhary,Nikhil,Nikhil,Nikhil Chaudhary,Nikhil Chaudhary,131300,Hobart Hurricanes,ALLR,0,0
Chohan,Jafer,,Jafer Chohan,Jafer Chohan,117500,Sydney Sixers,BOWL,0,0
Clarke,Joe,JM,Joe Clarke,JM Clarke,110600,Melbourne Stars,WK,0,1
Connolly,Cooper,C,Cooper Connolly,C Connolly,133800,Perth Scorchers,ALLR,0,0
Couch,Brody,BL,Brody Couch,BL Couch,77900,Melbourne Stars,BOWL,0,1
Crone,Xavier,,Xavier Crone,Xavier Crone,39500,Melbourne Renegades,BOWL,0,0
Curran,Tom,TK,Tom Curran,TK Curran,152200,Melbourne Stars,ALLR,0,1
David,Tim,TH,Tim David,TH David,66300,Hobart Hurricanes,BAT,0,0
Davies,Joel,JA,Joel Davies,JA Davies,65600,Sydney Sixers,ALLR,1,0
Davies,Ollie,O,Ollie Davies,O Davies,78400,Sydney Thunder,BAT,1,0
Dixon,Harry,,Harry Dixon,Harry Dixon,39500,Melbourne Renegades,BAT,0,0
Doggett,Brendan,B,Brendan Doggett,B Doggett,71000,Adelaide Strikers,BOWL,0,0
Dooley,Paddy,PG,Paddy Dooley,PG Dooley,88000,Hobart Hurricanes,BOWL,0,0
Doran,Jake,,Jake Doran,Jake Doran,39500,Hobart Hurricanes,WK,0,0
Duckett,Ben,BM,Ben Duckett,BM Duckett,152000,Melbourne Stars,WK,0,0
Dwarshuis,Ben,BJ,Ben Dwarshuis,BJ Dwarshuis,142900,Sydney Sixers,BOWL,1,1
Edwards,Jack,J,Jack Edwards,J Edwards,143500,Sydney Sixers,ALLR,1,0
Ellis,Nathan,NT,Nathan Ellis,NT Ellis,131300,Hobart Hurricanes,BOWL,0,0
Evans,Laurie,LJ,Laurie Evans,LJ Evans,120500,Melbourne Renegades,BAT,1,0
Fanning,Sam,S,Sam Fanning,S Fanning,39500,Perth Scorchers,BAT,0,0
Ferguson,Lockie,,Lockie Ferguson,Lockie Ferguson,162600,Sydney Thunder,BOWL,1,0
Fraser-McGurk,Jake,J,Jake Fraser-McGurk,J Fraser-McGurk,119600,Melbourne Renegades,BAT,1,0
Gilkes,Matthew,M,Matthew Gilkes,M Gilkes,58500,Sydney Thunder,WK,0,0
Green,Chris,CJ,Chris Green,CJ Green,144200,Sydney Thunder,BOWL,1,0
Hadley,Ryan,,Ryan Hadley,Ryan Hadley,39500,Sydney Thunder,BOWL,0,0
Hardie,Aaron,AM,Aaron Hardie,AM Hardie,177800,Perth Scorchers,ALLR,0,0
Harper,Sam,SB,Sam Harper,SB Harper,66400,Melbourne Stars,WK,0,1
Harris,Marcus,MS,Marcus Harris,MS Harris,58500,Melbourne Renegades,BAT,1,0
Harvey,Mackenzie,MW,Mackenzie Harvey,MW Harvey,53900,Melbourne Renegades,BAT,1,0
Hatcher,Liam,LC,Liam Hatcher,LC Hatcher,64100,Sydney Thunder,BOWL,0,0
Hatzoglou,Peter,P,Peter Hatzoglou,P Hatzoglou,72600,Hobart Hurricanes,BOWL,0,0
Head,Travis,TM,Travis Head,TM Head,130000,Adelaide Strikers,ALLR,0,0
Henriques,Moises,MC,Moises Henriques,MC Henriques,112500,Sydney Sixers,ALLR,1,0
Hobson,Nick,NR,Nick Hobson,NR Hobson,86700,Perth Scorchers,BAT,0,0
Hope,Shai,,Shai Hope,Shai Hope,142400,Hobart Hurricanes,WK,0,0
Hosein,Akeal,AJ,Akeal Hosein,AJ Hosein,196700,Sydney Sixers,BOWL,1,0
Hossain,Rishad,,Rishad Hossain,Rishad Hossain,85000,Hobart Hurricanes,ALLR,0,0
