resp_var,pred,res,abs res,per res,abs per res,MAE,MAPE
10,10.3,-0.3,0.3,-3.00%,3.00%,10.99614114,4197.17%
112,81.1,30.9,30.9,27.59%,27.59%,,
45,42.3,2.7,2.7,6.00%,6.00%,,
1,26.2,-25.2,25.2,-2520.00%,2520.00%,,
48,55.1,-7.1,7.1,-14.79%,14.79%,,
136,115.4,20.6,20.6,15.15%,15.15%,,
26,40.2,-14.2,14.2,-54.62%,54.62%,,
51,76.3,-25.3,25.3,-49.61%,49.61%,,
42,32.2,9.8,9.8,23.33%,23.33%,,
7,17.3,-10.3,10.3,-147.14%,147.14%,,
52,40.8,11.2,11.2,21.54%,21.54%,,
96,74.8,21.2,21.2,22.08%,22.08%,,
18,28.2,-10.2,10.2,-56.67%,56.67%,,
31,25.7,5.3,5.3,17.10%,17.10%,,
32,25.8,6.2,6.2,19.38%,19.38%,,
62,48.4,13.6,13.6,21.94%,21.94%,,
31,32.7,-1.7,1.7,-5.48%,5.48%,,
0.01,3.607,-3.597,3.597,-35970.00%,35970.00%,,
27,39.5,-12.5,12.5,-46.30%,46.30%,,
22,18.6,3.4,3.4,15.45%,15.45%,,
9,8.3,0.7,0.7,7.78%,7.78%,,
30,25.001,4.999,4.999,16.66%,16.66%,,
91,73.7,17.3,17.3,19.01%,19.01%,,
36,39.5,-3.5,3.5,-9.72%,9.72%,,
25,24.1,0.9,0.9,3.60%,3.60%,,
2,10.2,-8.2,8.2,-410.00%,410.00%,,
4,5.7,-1.7,1.7,-42.50%,42.50%,,
40,56.4,-16.4,16.4,-41.00%,41.00%,,
96,62.4,33.6,33.6,35.00%,35.00%,,
4,16.9,-12.9,12.9,-322.50%,322.50%,,
35,27,8,8,22.86%,22.86%,,
51,45.6,5.4,5.4,10.59%,10.59%,,
96,97.3,-1.3,1.3,-1.35%,1.35%,,
36,28.8,7.2,7.2,20.00%,20.00%,,
1,26,-25,25,-2500.00%,2500.00%,,
57,57.4,-0.4,0.4,-0.70%,0.70%,,
97,78.6,18.4,18.4,18.97%,18.97%,,
56,51.5,4.5,4.5,8.04%,8.04%,,
111,90.3,20.7,20.7,18.65%,18.65%,,
40,35.3,4.7,4.7,11.75%,11.75%,,
104,87.6,16.4,16.4,15.77%,15.77%,,
38,33,5,5,13.16%,13.16%,,
40,36.9,3.1,3.1,7.75%,7.75%,,
5,27.3,-22.3,22.3,-446.00%,446.00%,,
35,34,1,1,2.86%,2.86%,,
59,45,14,14,23.73%,23.73%,,
28,49.1,-21.1,21.1,-75.36%,75.36%,,
5,18.5,-13.5,13.5,-270.00%,270.00%,,
7,16.8,-9.8,9.8,-140.00%,140.00%,,
13,19.9,-6.9,6.9,-53.08%,53.08%,,
46,33.7,12.3,12.3,26.74%,26.74%,,
22,31.9,-9.9,9.9,-45.00%,45.00%,,
50,39.6,10.4,10.4,20.80%,20.80%,,
135,117.6,17.4,17.4,12.89%,12.89%,,
18,15.501,2.499,2.499,13.88%,13.88%,,
11,37.7,-26.7,26.7,-242.73%,242.73%,,
51,58.4,-7.4,7.4,-14.51%,14.51%,,
95,70,25,25,26.32%,26.32%,,
0.01,23.605,-23.595,23.595,-235950.00%,235950.00%,,
75,64,11,11,14.67%,14.67%,,
47,46.4,0.6,0.6,1.28%,1.28%,,
38,24.4,13.6,13.6,35.79%,35.79%,,
6,5.8,0.2,0.2,3.33%,3.33%,,
56,53,3,3,5.36%,5.36%,,
35,51.7,-16.7,16.7,-47.71%,47.71%,,
90,93.6,-3.6,3.6,-4.00%,4.00%,,
2,19.5,-17.5,17.5,-875.00%,875.00%,,
2,20.9,-18.9,18.9,-945.00%,945.00%,,
5,22,-17,17,-340.00%,340.00%,,
62,51.1,10.9,10.9,17.58%,17.58%,,
4,4.8,-0.8,0.8,-20.00%,20.00%,,
3,4.3,-1.3,1.3,-43.33%,43.33%,,
29,24.5,4.5,4.5,15.52%,15.52%,,
53,42.3,10.7,10.7,20.19%,20.19%,,
53,43.4,9.6,9.6,18.11%,18.11%,,
11,21.4,-10.4,10.4,-94.55%,94.55%,,
30,44,-14,14,-46.67%,46.67%,,
80,73.4,6.6,6.6,8.25%,8.25%,,
24,26.7,-2.7,2.7,-11.25%,11.25%,,
25,28.7,-3.7,3.7,-14.80%,14.80%,,
2,17.8,-15.8,15.8,-790.00%,790.00%,,
94,66,28,28,29.79%,29.79%,,
4,14.6,-10.6,10.6,-265.00%,265.00%,,
75,48.001,26.999,26.999,36.00%,36.00%,,
98,73.2,24.8,24.8,25.31%,25.31%,,
2,14.501,-12.501,12.501,-625.05%,625.05%,,
13,19.8,-6.8,6.8,-52.31%,52.31%,,
47,51.3,-4.3,4.3,-9.15%,9.15%,,
37,36.3,0.7,0.7,1.89%,1.89%,,
13,25.8,-12.8,12.8,-98.46%,98.46%,,
50,50.5,-0.5,0.5,-1.00%,1.00%,,
21,22.4,-1.4,1.4,-6.67%,6.67%,,
37,42.6,-5.6,5.6,-15.14%,15.14%,,
42,42.9,-0.9,0.9,-2.14%,2.14%,,
49,70.6,-21.6,21.6,-44.08%,44.08%,,
113,83.9,29.1,29.1,25.75%,25.75%,,
20,20.3,-0.3,0.3,-1.50%,1.50%,,
16,13.6,2.4,2.4,15.00%,15.00%,,
19,18,1,1,5.26%,5.26%,,
111,84.9,26.1,26.1,23.51%,23.51%,,
5,60.6,-55.6,55.6,-1112.00%,1112.00%,,
18,22.201,-4.201,4.201,-23.34%,23.34%,,
2,19.4,-17.4,17.4,-870.00%,870.00%,,
27,35.8,-8.8,8.8,-32.59%,32.59%,,
47,44.3,2.7,2.7,5.74%,5.74%,,
64,53.8,10.2,10.2,15.94%,15.94%,,
108,76.8,31.2,31.2,28.89%,28.89%,,
1,31.801,-30.801,30.801,-3080.10%,3080.10%,,
39,33.2,5.8,5.8,14.87%,14.87%,,
38,45.8,-7.8,7.8,-20.53%,20.53%,,
87,73.802,13.198,13.198,15.17%,15.17%,,
41,50.6,-9.6,9.6,-23.41%,23.41%,,
59,47.6,11.4,11.4,19.32%,19.32%,,
58,32.601,25.399,25.399,43.79%,43.79%,,
59,67.3,-8.3,8.3,-14.07%,14.07%,,
26,28.7,-2.7,2.7,-10.38%,10.38%,,
28,28.5,-0.5,0.5,-1.79%,1.79%,,
12,24.8,-12.8,12.8,-106.67%,106.67%,,
61,58.4,2.6,2.6,4.26%,4.26%,,
11,29.9,-18.9,18.9,-171.82%,171.82%,,
5,7.3,-2.3,2.3,-46.00%,46.00%,,
1,10.7,-9.7,9.7,-970.00%,970.00%,,
67,61.3,5.7,5.7,8.51%,8.51%,,
1,40.8,-39.8,39.8,-3980.00%,3980.00%,,
81,69.9,11.1,11.1,13.70%,13.70%,,
9,16.1,-7.1,7.1,-78.89%,78.89%,,
87,72.2,14.8,14.8,17.01%,17.01%,,
29,27.6,1.4,1.4,4.83%,4.83%,,
38,30.9,7.1,7.1,18.68%,18.68%,,
0.01,8.709,-8.699,8.699,-86990.00%,86990.00%,,
42,38.8,3.2,3.2,7.62%,7.62%,,
25,31,-6,6,-24.00%,24.00%,,
46,58.9,-12.9,12.9,-28.04%,28.04%,,
83,63.3,19.7,19.7,23.73%,23.73%,,
5,16.5,-11.5,11.5,-230.00%,230.00%,,
42,41.9,0.1,0.1,0.24%,0.24%,,
26,34.3,-8.3,8.3,-31.92%,31.92%,,
6,18.3,-12.3,12.3,-205.00%,205.00%,,
31,32.9,-1.9,1.9,-6.13%,6.13%,,
44,31.1,12.9,12.9,29.32%,29.32%,,
0.01,7.707,-7.697,7.697,-76970.00%,76970.00%,,
104,97.1,6.9,6.9,6.63%,6.63%,,
24,25.4,-1.4,1.4,-5.83%,5.83%,,
63,64.8,-1.8,1.8,-2.86%,2.86%,,
80,68.1,11.9,11.9,14.88%,14.88%,,
