,player,match_id,innings,bat_position
0,DP Hughes,1023649.0,1.0,1.0
1,MJ Lumb,1023649.0,1.0,2.0
2,NJ Maddinson,1023649.0,1.0,3.0
3,MC Henriques,1023649.0,1.0,4.0
4,BJ Haddin,1023649.0,1.0,5.0
5,JC Silk,1023649.0,1.0,6.0
6,J Botha,1023649.0,1.0,7.0
7,SA Abbott,1023649.0,1.0,8.0
8,BJ Dwarshuis,1023649.0,1.0,9.0
9,NM Lyon,1023649.0,1.0,10.0
10,JM Bird,1023649.0,1.0,11.0
0,SM Whiteman,1023649.0,2.0,1.0
1,M Klinger,1023649.0,2.0,2.0
2,IR Bell,1023649.0,2.0,3.0
0,JJ Peirson,1023647.0,1.0,1.0
1,BB McCullum,1023647.0,1.0,2.0
2,SD Heazlett,1023647.0,1.0,3.0
3,AI Ross,1023647.0,1.0,4.0
4,JA Burns,1023647.0,1.0,5.0
5,BCJ Cutting,1023647.0,1.0,6.0
6,M Labuschagne,1023647.0,1.0,7.0
7,JD Wildermuth,1023647.0,1.0,8.0
8,MT Steketee,1023647.0,1.0,9.0
9,S Badree,1023647.0,1.0,10.0
0,DP Hughes,1023647.0,2.0,1.0
1,NJ Maddinson,1023647.0,2.0,2.0
2,C Munro,1023647.0,2.0,3.0
3,MC Henriques,1023647.0,2.0,4.0
4,MJ Lumb,1023647.0,2.0,5.0
5,BJ Haddin,1023647.0,2.0,6.0
6,J Botha,1023647.0,2.0,7.0
7,SA Abbott,1023647.0,2.0,8.0
8,BJ Dwarshuis,1023647.0,2.0,9.0
9,NM Lyon,1023647.0,2.0,10.0
0,RJ Quiney,1023645.0,1.0,1.0
1,LJ Wright,1023645.0,1.0,2.0
2,SE Gotch,1023645.0,1.0,3.0
3,KP Pietersen,1023645.0,1.0,4.0
4,MP Stoinis,1023645.0,1.0,5.0
5,DJ Hussey,1023645.0,1.0,6.0
6,EP Gulbis,1023645.0,1.0,7.0
7,BW Hilfenhaus,1023645.0,1.0,8.0
8,DJ Worrall,1023645.0,1.0,9.0
9,SM Boland,1023645.0,1.0,10.0
0,SM Whiteman,1023645.0,2.0,1.0
1,M Klinger,1023645.0,2.0,2.0
2,SE Marsh,1023645.0,2.0,3.0
3,AC Voges,1023645.0,2.0,4.0
4,IR Bell,1023645.0,2.0,5.0
0,RJ Quiney,1023643.0,1.0,1.0
1,LJ Wright,1023643.0,1.0,2.0
2,KP Pietersen,1023643.0,1.0,3.0
3,EP Gulbis,1023643.0,1.0,4.0
4,SE Gotch,1023643.0,1.0,5.0
5,DJ Hussey,1023643.0,1.0,6.0
6,SB Harper,1023643.0,1.0,7.0
7,BW Hilfenhaus,1023643.0,1.0,8.0
8,SM Boland,1023643.0,1.0,9.0
0,DP Hughes,1023643.0,2.0,1.0
1,MJ Lumb,1023643.0,2.0,2.0
2,C Munro,1023643.0,2.0,3.0
3,MC Henriques,1023643.0,2.0,4.0
4,NJ Maddinson,1023643.0,2.0,5.0
5,BJ Haddin,1023643.0,2.0,6.0
6,J Botha,1023643.0,2.0,7.0
7,SA Abbott,1023643.0,2.0,8.0
8,BJ Dwarshuis,1023643.0,2.0,9.0
0,TD Paine,1023641.0,1.0,1.0
1,DJM Short,1023641.0,1.0,2.0
2,BR McDermott,1023641.0,1.0,3.0
3,GJ Bailey,1023641.0,1.0,4.0
4,DT Christian,1023641.0,1.0,5.0
5,JW Wells,1023641.0,1.0,6.0
6,BJ Webster,1023641.0,1.0,7.0
7,CA Rose,1023641.0,1.0,8.0
0,SM Whiteman,1023641.0,2.0,1.0
1,M Klinger,1023641.0,2.0,2.0
2,SE Marsh,1023641.0,2.0,3.0
3,AC Voges,1023641.0,2.0,4.0
4,AJ Turner,1023641.0,2.0,5.0
0,MS Harris,1023639.0,1.0,1.0
1,AJ Finch,1023639.0,1.0,2.0
2,CL White,1023639.0,1.0,3.0
3,TLW Cooper,1023639.0,1.0,4.0
4,CJ Ferguson,1023639.0,1.0,5.0
5,NLTC Perera,1023639.0,1.0,6.0
6,SP Narine,1023639.0,1.0,7.0
0,BB McCullum,1023639.0,2.0,1.0
1,JJ Peirson,1023639.0,2.0,2.0
2,SD Heazlett,1023639.0,2.0,3.0
3,AI Ross,1023639.0,2.0,4.0
4,JA Burns,1023639.0,2.0,5.0
5,BCJ Cutting,1023639.0,2.0,6.0
6,M Labuschagne,1023639.0,2.0,7.0
7,JD Wildermuth,1023639.0,2.0,8.0
8,ND Buchanan,1023639.0,2.0,9.0
9,MT Steketee,1023639.0,2.0,10.0
0,TP Ludeman,1023637.0,1.0,1.0
1,BR Dunk,1023637.0,1.0,2.0
2,BJ Hodge,1023637.0,1.0,3.0
3,KA Pollard,1023637.0,1.0,4.0
4,JS Lehmann,1023637.0,1.0,5.0
5,JR Dean,1023637.0,1.0,6.0
6,AT Carey,1023637.0,1.0,7.0
0,KR Patterson,1023637.0,2.0,1.0
1,JM Vince,1023637.0,2.0,2.0
2,SR Watson,1023637.0,2.0,3.0
3,BJ Rohrer,1023637.0,2.0,4.0
4,CR Brathwaite,1023637.0,2.0,5.0
5,RJ Gibson,1023637.0,2.0,6.0
6,JS Lenton,1023637.0,2.0,7.0
7,AJ Nair,1023637.0,2.0,8.0
8,CJ McKay,1023637.0,2.0,9.0
9,CJ Green,1023637.0,2.0,10.0
0,RJ Quiney,1023635.0,1.0,1.0
1,KP Pietersen,1023635.0,1.0,2.0
2,SE Gotch,1023635.0,1.0,3.0
3,LJ Wright,1023635.0,1.0,4.0
4,MP Stoinis,1023635.0,1.0,5.0
5,DJ Hussey,1023635.0,1.0,6.0
6,EP Gulbis,1023635.0,1.0,7.0
7,BW Hilfenhaus,1023635.0,1.0,8.0
0,SD Heazlett,1023635.0,2.0,1.0
1,JJ Peirson,1023635.0,2.0,2.0
2,NJ Reardon,1023635.0,2.0,3.0
3,AI Ross,1023635.0,2.0,4.0
4,JA Burns,1023635.0,2.0,5.0
0,MS Harris,1023633.0,1.0,1.0
1,AJ Finch,1023633.0,1.0,2.0
2,CL White,1023633.0,1.0,3.0
3,TLW Cooper,1023633.0,1.0,4.0
4,CJ Ferguson,1023633.0,1.0,5.0
5,NLTC Perera,1023633.0,1.0,6.0
6,SP Narine,1023633.0,1.0,7.0
7,PM Nevill,1023633.0,1.0,8.0
8,JL Pattinson,1023633.0,1.0,9.0
9,NJ Rimmington,1023633.0,1.0,10.0
10,GB Hogg,1023633.0,1.0,11.0
0,TP Ludeman,1023633.0,2.0,1.0
1,BR Dunk,1023633.0,2.0,2.0
2,J Weatherald,1023633.0,2.0,3.0
3,KA Pollard,1023633.0,2.0,4.0
4,BJ Hodge,1023633.0,2.0,5.0
5,MG Neser,1023633.0,2.0,6.0
6,JR Dean,1023633.0,2.0,7.0
7,IS Sodhi,1023633.0,2.0,8.0
8,WA Agar,1023633.0,2.0,9.0
0,SE Marsh,1023631.0,1.0,1.0
1,M Klinger,1023631.0,1.0,2.0
2,IR Bell,1023631.0,1.0,3.0
3,CT Bancroft,1023631.0,1.0,4.0
4,HWR Cartwright,1023631.0,1.0,5.0
5,AJ Tye,1023631.0,1.0,6.0
6,AJ Turner,1023631.0,1.0,7.0
7,AC Agar,1023631.0,1.0,8.0
8,TT Bresnan,1023631.0,1.0,9.0
0,RJ Quiney,1023631.0,2.0,1.0
1,LJ Wright,1023631.0,2.0,2.0
2,KP Pietersen,1023631.0,2.0,3.0
3,PSP Handscomb,1023631.0,2.0,4.0
4,MP Stoinis,1023631.0,2.0,5.0
0,DP Hughes,1023629.0,1.0,1.0
1,MJ Lumb,1023629.0,1.0,2.0
2,NJ Maddinson,1023629.0,1.0,3.0
3,MC Henriques,1023629.0,1.0,4.0
4,C Munro,1023629.0,1.0,5.0
5,BJ Haddin,1023629.0,1.0,6.0
6,SA Abbott,1023629.0,1.0,7.0
7,J Botha,1023629.0,1.0,8.0
8,BJ Dwarshuis,1023629.0,1.0,9.0
9,NM Lyon,1023629.0,1.0,10.0
10,JM Bird,1023629.0,1.0,11.0
0,KR Patterson,1023629.0,2.0,1.0
1,JM Vince,1023629.0,2.0,2.0
