,Name,player,Team,opp,venue,Home_f,Round,Full_Name,season_fp_lag1,avg_season_fp_lag1,max_season_fp_lag1,min_season_fp_lag1,med_season_fp_lag1,sd_season_fp_lag1,match_cnt_lag1,season_fp_lag2,avg_season_fp_lag2,max_season_fp_lag2,min_season_fp_lag2,med_season_fp_lag2,sd_season_fp_lag2,match_cnt_lag2,season_fp_lag3,avg_season_fp_lag3,max_season_fp_lag3,min_season_fp_lag3,med_season_fp_lag3,sd_season_fp_lag3,match_cnt_lag3,season,rank,rank_group,exp_pts
0,Sean Abbott,SA Abbott,Sydney Sixers,Melbourne Renegades,SCG,1,1,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,2,High,54.75641200000001
1,Sean Abbott,SA Abbott,Sydney Sixers,Sydney Thunder,Sydney Showground,0,2,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,2,High,52.784622000000006
2,Sean Abbott,SA Abbott,Sydney Sixers,Melbourne Stars,SCG,1,3,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,2,High,51.56021000000001
3,Sean Abbott,SA Abbott,Sydney Sixers,Brisbane Heat,GABBA,0,3,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,2,High,54.82678066666668
4,Sean Abbott,SA Abbott,Sydney Sixers,Hobart Hurricanes,Hobart,0,4,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,2,High,52.80162200000001
5,Sean Abbott,SA Abbott,Sydney Sixers,Brisbane Heat,Other,0,5,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,2,High,54.82678066666668
6,Sean Abbott,SA Abbott,Sydney Sixers,Melbourne Stars,Melbourne Cricket Ground,0,6,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,2,High,51.56121000000001
7,Sean Abbott,SA Abbott,Sydney Sixers,Perth Scorchers,SCG,1,7,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,2,High,51.39452200000001
8,Sean Abbott,SA Abbott,Sydney Sixers,Adelaide Strikers,Adelaide Oval,0,8,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,2,High,50.116612
9,Sean Abbott,SA Abbott,Sydney Sixers,Sydney Thunder,SCG,1,9,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0,14,2,High,53.15322200000001
10,Ashton Agar,AC Agar,Perth Scorchers,Melbourne Stars,Perth Stadium,1,1,Ashton Agar,307.0,34.111111111111114,143.0,2.0,12.0,45.77511453957391,9.0,311.0,31.1,64.0,7.0,30.5,18.4779147452664,10.0,875.0,58.333333333333336,107.0,10.0,57.0,26.326701998071044,15.0,14,1,High,31.504292
11,Ashton Agar,AC Agar,Perth Scorchers,Hobart Hurricanes,Hobart,0,2,Ashton Agar,307.0,34.111111111111114,143.0,2.0,12.0,45.77511453957391,9.0,311.0,31.1,64.0,7.0,30.5,18.4779147452664,10.0,875.0,58.333333333333336,107.0,10.0,57.0,26.326701998071044,15.0,14,1,High,28.431785333333316
12,Ashton Agar,AC Agar,Perth Scorchers,Melbourne Renegades,Marvel,0,2,Ashton Agar,307.0,34.111111111111114,143.0,2.0,12.0,45.77511453957391,9.0,311.0,31.1,64.0,7.0,30.5,18.4779147452664,10.0,875.0,58.333333333333336,107.0,10.0,57.0,26.326701998071044,15.0,14,1,High,32.55681266666667
13,Ashton Agar,AC Agar,Perth Scorchers,Brisbane Heat,Perth Stadium,1,3,Ashton Agar,307.0,34.111111111111114,143.0,2.0,12.0,45.77511453957391,9.0,311.0,31.1,64.0,7.0,30.5,18.4779147452664,10.0,875.0,58.333333333333336,107.0,10.0,57.0,26.326701998071044,15.0,14,1,High,33.90992400000001
14,Ashton Agar,AC Agar,Perth Scorchers,Adelaide Strikers,Adelaide Oval,0,4,Ashton Agar,307.0,34.111111111111114,143.0,2.0,12.0,45.77511453957391,9.0,311.0,31.1,64.0,7.0,30.5,18.4779147452664,10.0,875.0,58.333333333333336,107.0,10.0,57.0,26.326701998071044,15.0,14,1,High,30.62865
15,Ashton Agar,AC Agar,Perth Scorchers,Sydney Thunder,Perth Stadium,1,5,Ashton Agar,307.0,34.111111111111114,143.0,2.0,12.0,45.77511453957391,9.0,311.0,31.1,64.0,7.0,30.5,18.4779147452664,10.0,875.0,58.333333333333336,107.0,10.0,57.0,26.326701998071044,15.0,14,1,High,31.580472000000007
16,Ashton Agar,AC Agar,Perth Scorchers,Melbourne Renegades,Perth Stadium,1,6,Ashton Agar,307.0,34.111111111111114,143.0,2.0,12.0,45.77511453957391,9.0,311.0,31.1,64.0,7.0,30.5,18.4779147452664,10.0,875.0,58.333333333333336,107.0,10.0,57.0,26.326701998071044,15.0,14,1,High,33.57401866666668
17,Ashton Agar,AC Agar,Perth Scorchers,Sydney Sixers,SCG,0,7,Ashton Agar,307.0,34.111111111111114,143.0,2.0,12.0,45.77511453957391,9.0,311.0,31.1,64.0,7.0,30.5,18.4779147452664,10.0,875.0,58.333333333333336,107.0,10.0,57.0,26.326701998071044,15.0,14,1,High,30.45507200000001
18,Ashton Agar,AC Agar,Perth Scorchers,Sydney Thunder,Sydney Showground,0,8,Ashton Agar,307.0,34.111111111111114,143.0,2.0,12.0,45.77511453957391,9.0,311.0,31.1,64.0,7.0,30.5,18.4779147452664,10.0,875.0,58.333333333333336,107.0,10.0,57.0,26.326701998071044,15.0,14,1,High,30.611076
19,Ashton Agar,AC Agar,Perth Scorchers,Adelaide Strikers,Perth Stadium,1,9,Ashton Agar,307.0,34.111111111111114,143.0,2.0,12.0,45.77511453957391,9.0,311.0,31.1,64.0,7.0,30.5,18.4779147452664,10.0,875.0,58.333333333333336,107.0,10.0,57.0,26.326701998071044,15.0,14,1,High,31.991236000000004
20,Wes Agar,WA Agar,Sydney Thunder,Adelaide Strikers,Other,0,1,Wes Agar,60.0,15.0,25.0,4.0,15.5,10.099504938362076,4.0,679.0,52.23076923076923,131.0,2.0,48.0,44.29287724182044,13.0,308.0,44.0,106.0,2.0,20.0,44.25306015783918,7.0,14,4,Middle,26.098726499999962
21,Wes Agar,WA Agar,Sydney Thunder,Sydney Sixers,Sydney Showground,1,2,Wes Agar,60.0,15.0,25.0,4.0,15.5,10.099504938362076,4.0,679.0,52.23076923076923,131.0,2.0,48.0,44.29287724182044,13.0,308.0,44.0,106.0,2.0,20.0,44.25306015783918,7.0,14,4,Middle,26.48524399999994
22,Wes Agar,WA Agar,Sydney Thunder,Melbourne Stars,Other,0,3,Wes Agar,60.0,15.0,25.0,4.0,15.5,10.099504938362076,4.0,679.0,52.23076923076923,131.0,2.0,48.0,44.29287724182044,13.0,308.0,44.0,106.0,2.0,20.0,44.25306015783918,7.0,14,4,Middle,25.593907999999942
23,Wes Agar,WA Agar,Sydney Thunder,Melbourne Renegades,Sydney Showground,1,4,Wes Agar,60.0,15.0,25.0,4.0,15.5,10.099504938362076,4.0,679.0,52.23076923076923,131.0,2.0,48.0,44.29287724182044,13.0,308.0,44.0,106.0,2.0,20.0,44.25306015783918,7.0,14,4,Middle,32.143792000000005
24,Wes Agar,WA Agar,Sydney Thunder,Perth Scorchers,Perth Stadium,0,5,Wes Agar,60.0,15.0,25.0,4.0,15.5,10.099504938362076,4.0,679.0,52.23076923076923,131.0,2.0,48.0,44.29287724182044,13.0,308.0,44.0,106.0,2.0,20.0,44.25306015783918,7.0,14,4,Middle,24.98801057142853
25,Wes Agar,WA Agar,Sydney Thunder,Brisbane Heat,GABBA,0,6,Wes Agar,60.0,15.0,25.0,4.0,15.5,10.099504938362076,4.0,679.0,52.23076923076923,131.0,2.0,48.0,44.29287724182044,13.0,308.0,44.0,106.0,2.0,20.0,44.25306015783918,7.0,14,4,Middle,24.613423999999963
26,Wes Agar,WA Agar,Sydney Thunder,Hobart Hurricanes,Sydney Showground,1,6,Wes Agar,60.0,15.0,25.0,4.0,15.5,10.099504938362076,4.0,679.0,52.23076923076923,131.0,2.0,48.0,44.29287724182044,13.0,308.0,44.0,106.0,2.0,20.0,44.25306015783918,7.0,14,4,Middle,28.103517999999934
27,Wes Agar,WA Agar,Sydney Thunder,Hobart Hurricanes,Hobart,0,7,Wes Agar,60.0,15.0,25.0,4.0,15.5,10.099504938362076,4.0,679.0,52.23076923076923,131.0,2.0,48.0,44.29287724182044,13.0,308.0,44.0,106.0,2.0,20.0,44.25306015783918,7.0,14,4,Middle,27.559330666666607
28,Wes Agar,WA Agar,Sydney Thunder,Perth Scorchers,Sydney Showground,1,8,Wes Agar,60.0,15.0,25.0,4.0,15.5,10.099504938362076,4.0,679.0,52.23076923076923,131.0,2.0,48.0,44.29287724182044,13.0,308.0,44.0,106.0,2.0,20.0,44.25306015783918,7.0,14,4,Middle,26.20654657142852
