,player,Full_Name,season_fp_lag1,avg_season_fp_lag1,max_season_fp_lag1,min_season_fp_lag1,med_season_fp_lag1,sd_season_fp_lag1,match_cnt_lag1,season_fp_lag2,avg_season_fp_lag2,max_season_fp_lag2,min_season_fp_lag2,med_season_fp_lag2,sd_season_fp_lag2,match_cnt_lag2,season_fp_lag3,avg_season_fp_lag3,max_season_fp_lag3,min_season_fp_lag3,med_season_fp_lag3,sd_season_fp_lag3,match_cnt_lag3
0,SA Abbott,Sean Abbott,448.0,49.77777777777778,139.0,8.0,55.0,41.9755219675044,9.0,1095.0,73.0,127.0,2.0,79.0,37.84932533839181,15.0,828.0,63.69230769230769,157.0,7.0,48.0,54.60827869988307,13.0
1,AC Agar,Ashton Agar,307.0,34.111111111111114,143.0,2.0,12.0,45.77511453957391,9.0,311.0,31.1,64.0,7.0,30.5,18.477914745266396,10.0,875.0,58.333333333333336,107.0,10.0,57.0,26.326701998071044,15.0
2,WA Agar,Wes Agar,60.0,15.0,25.0,4.0,15.5,10.099504938362077,4.0,679.0,52.23076923076923,131.0,2.0,48.0,44.292877241820435,13.0,308.0,44.0,106.0,2.0,20.0,44.25306015783918,7.0
3,Finn Allen,Finn Allen,,,,,,,,,,,,,,,,,,,,,
4,Fabian Allen,Fabian Allen,,,,,,,,,,,,,,,,,,,,,
5,Tom Alsop,Tom Alsop,,,,,,,,,,,,,,,,,,,,,
6,CT Bancroft,Cameron Bancroft,280.0,31.11111111111111,94.0,2.0,21.0,29.126639200414303,9.0,462.0,42.0,130.0,1.0,15.0,46.66690476129738,11.0,168.0,21.0,45.0,5.0,24.5,14.481515311399068,8.0
7,XC Bartlett,Xavier Bartlett,659.0,59.90909090909091,94.0,27.0,63.0,24.455897225227893,11.0,274.0,45.666666666666664,102.0,3.0,40.0,41.27791984422988,6.0,494.0,70.57142857142857,112.0,27.0,70.0,33.530370029060435,7.0
8,JJ Bazley,James Bazley,153.0,21.857142857142858,58.0,1.0,14.0,22.025958711094898,7.0,730.0,48.666666666666664,146.0,3.0,35.0,44.093515342259735,15.0,660.0,60.0,115.0,23.0,56.0,28.421822601655933,11.0
9,Mahli Beardman,Mahli Beardman,,,,,,,,,,,,,,,,,,,,,
10,JP Behrendorff,Jason Behrendorff,544.0,60.44444444444444,119.0,4.0,50.0,38.37678696527079,9.0,801.0,57.214285714285715,101.0,15.0,53.5,29.163144737648082,14.0,603.0,46.38461538461539,101.0,6.0,41.0,27.250499877795704,13.0
11,Jacob Bethell,Jacob Bethell,,,,,,,,,,,,,,,,,,,,,
12,SW Billings,Sam Billings,235.0,33.57142857142857,62.0,1.0,43.0,23.810761872573103,7.0,252.0,31.5,109.0,1.0,28.5,34.64926303071147,8.0,434.0,48.22222222222222,102.0,9.0,43.0,32.729106991246255,9.0
13,JM Bird,Jackson Bird,303.0,50.5,76.0,27.0,53.5,18.119050747762696,6.0,387.0,64.5,100.0,41.0,54.5,26.417797031546744,6.0,155.0,25.833333333333332,39.0,4.0,27.5,13.347908700117284,6.0
14,SM Boland,Scott Boland,90.0,30.0,50.0,8.0,32.0,21.071307505705477,3.0,,,,,,,,69.0,34.5,36.0,33.0,34.5,2.1213203435596424,2.0
15,CJ Boyce,Cameron Boyce,520.0,47.27272727272727,94.0,14.0,47.0,27.86069241455032,11.0,236.0,39.333333333333336,84.0,2.0,31.0,34.49444399706519,6.0,325.0,81.25,165.0,40.0,60.0,57.7660511604062,4.0
16,J Brown,Josh Brown,471.0,52.333333333333336,185.0,14.0,34.0,53.319789947073126,9.0,388.0,27.714285714285715,97.0,0.0,14.5,29.140055887778544,14.0,,,,,,,
17,M Bryant,Max Bryant,189.0,37.8,54.0,12.0,40.0,16.37681287674742,5.0,247.0,27.444444444444443,66.0,0.0,28.0,23.68074698521518,9.0,285.0,28.5,106.0,2.0,13.5,35.32782976005681,10.0
18,Jordan Buckingham,Jordan Buckingham,,,,,,,,,,,,,,,,,,,,,
19,AT Carey,Alex Carey,46.0,46.0,46.0,46.0,46.0,,1.0,167.0,41.75,85.0,1.0,40.5,46.542990879400946,4.0,141.0,47.0,92.0,1.0,48.0,45.50824101193101,3.0
20,Iain Carlisle,Iain Carlisle,,,,,,,,,,,,,,,,,,,,,
21,HWR Cartwright,Hilton Cartwright,319.0,39.875,67.0,2.0,41.0,19.686380353649866,8.0,366.0,26.142857142857142,72.0,7.0,21.0,16.801360489130463,14.0,521.0,40.07692307692308,114.0,10.0,37.0,28.793695891234993,13.0
22,Nikhil Chaudhary,Nikhil Chaudhary,394.0,49.25,102.0,18.0,52.5,28.090415243841242,8.0,,,,,,,,,,,,,,
23,Jafer Chohan,Jafer Chohan,,,,,,,,,,,,,,,,,,,,,
24,JM Clarke,Joe Clarke,146.0,29.2,58.0,6.0,32.0,22.687000683210638,5.0,476.0,34.0,136.0,0.0,29.5,37.935167365874676,14.0,604.0,46.46153846153846,120.0,0.0,27.0,43.46764195854081,13.0
25,C Connolly,Cooper Connolly,493.0,44.81818181818182,110.0,0.0,36.0,38.376602720455026,11.0,97.0,32.333333333333336,52.0,0.0,45.0,28.21937868439582,3.0,,,,,,,
26,BL Couch,Brody Couch,44.0,44.0,44.0,44.0,44.0,,1.0,516.0,36.857142857142854,88.0,1.0,33.0,26.296701000629024,14.0,,,,,,,
27,Xavier Crone,Xavier Crone,,,,,,,,,,,,,,,,,,,,,
28,TK Curran,Tom Curran,208.0,52.0,142.0,6.0,30.0,61.19368159104882,4.0,,,,,,,,205.0,51.25,126.0,2.0,38.5,54.41430571703241,4.0
29,TH David,Tim David,258.0,28.666666666666668,48.0,1.0,32.0,18.553975315279473,9.0,662.0,47.285714285714285,113.0,5.0,50.5,29.161166409689894,14.0,453.0,30.2,71.0,4.0,26.0,21.9323635622924,15.0
30,JA Davies,Joel Davies,95.0,19.0,35.0,0.0,22.0,16.867127793433,5.0,22.0,11.0,12.0,10.0,11.0,1.4142135623730951,2.0,,,,,,,
31,O Davies,Ollie Davies,250.0,27.77777777777778,57.0,6.0,28.0,15.409232441768294,9.0,449.0,34.53846153846154,100.0,0.0,27.0,34.22624573972286,13.0,118.0,19.666666666666668,51.0,1.0,10.0,22.150996967781534,6.0
32,Harry Dixon,Harry Dixon,,,,,,,,,,,,,,,,,,,,,
33,B Doggett,Brendan Doggett,6.0,6.0,6.0,6.0,6.0,,1.0,440.0,36.666666666666664,101.0,3.0,32.0,29.678070671589804,12.0,2.0,2.0,2.0,2.0,2.0,,1.0
34,PG Dooley,Paddy Dooley,253.0,28.11111111111111,53.0,0.0,37.0,20.288201278356617,9.0,684.0,68.4,132.0,37.0,67.0,28.852883545477546,10.0,33.0,33.0,33.0,33.0,33.0,,1.0
35,Jake Doran,Jake Doran,,,,,,,,,,,,,,,,,,,,,
36,BM Duckett,Ben Duckett,397.0,33.083333333333336,113.0,1.0,16.0,37.173935965290454,12.0,,,,,,,,,,,,,,
37,BJ Dwarshuis,Ben Dwarshuis,650.0,59.09090909090909,171.0,3.0,64.0,46.08135099029659,11.0,686.0,57.166666666666664,165.0,9.0,48.5,41.2395073891162,12.0,705.0,54.23076923076923,132.0,2.0,50.0,45.057655372781085,13.0
38,J Edwards,Jack Edwards,652.0,59.27272727272727,116.0,2.0,71.0,38.04757787058438,11.0,,,,,,,,135.0,22.5,50.0,1.0,21.0,21.38924963620744,6.0
39,NT Ellis,Nathan Ellis,442.0,44.2,99.0,4.0,43.0,27.18986739373491,10.0,760.0,54.285714285714285,131.0,5.0,43.0,39.88913206805655,14.0,436.0,54.5,121.0,26.0,43.0,32.20913801126276,8.0
40,LJ Evans,Laurie Evans,432.0,61.714285714285715,120.0,5.0,49.0,43.21926378253987,7.0,,,,,,,,486.0,40.5,111.0,0.0,28.5,36.385561571990216,12.0
41,S Fanning,Sam Fanning,51.0,51.0,51.0,51.0,51.0,,1.0,,,,,,,,,,,,,,
42,Lockie Ferguson,Lockie Ferguson,,,,,,,,,,,,,,,,,,,,,
43,J Fraser-McGurk,Jake Fraser-McGurk,362.0,45.25,105.0,0.0,39.0,40.801785675209295,8.0,50.0,8.333333333333334,29.0,1.0,4.0,10.782702196883056,6.0,187.0,23.375,46.0,3.0,26.0,14.831794997812734,8.0
44,M Gilkes,Matthew Gilkes,21.0,5.25,18.0,0.0,1.5,8.616843969807043,4.0,362.0,24.133333333333333,94.0,0.0,7.0,32.49586054224372,15.0,390.0,27.857142857142858,128.0,1.0,14.5,34.94359662448823,14.0
45,CJ Green,Chris Green,448.0,49.77777777777778,78.0,20.0,51.0,17.45549897437608,9.0,742.0,49.46666666666667,78.0,3.0,63.0,26.519175452239583,15.0,407.0,33.916666666666664,95.0,0.0,26.5,31.761779012841927,12.0
46,Ryan Hadley,Ryan Hadley,,,,,,,,,,,,,,,,,,,,,
47,AM Hardie,Aaron Hardie,645.0,58.63636363636363,127.0,18.0,55.0,37.28075301619517,11.0,792.0,52.8,115.0,1.0,53.0,33.67321954143551,15.0,299.0,37.375,85.0,4.0,34.5,31.941632036307368,8.0
48,SB Harper,Sam Harper,72.0,14.4,37.0,0.0,5.0,17.314733610425545,5.0,374.0,31.166666666666668,124.0,0.0,7.0,43.68239365180799,12.0,258.0,19.846153846153847,87.0,0.0,7.0,25.520730638202586,13.0
49,MS Harris,Marcus Harris,8.0,8.0,8.0,8.0,8.0,,1.0,11.0,5.5,8.0,3.0,5.5,3.5355339059327378,2.0,,,,,,,
50,MW Harvey,Mackenzie Harvey,20.0,10.0,18.0,2.0,10.0,11.313708498984761,2.0,68.0,34.0,42.0,26.0,34.0,11.313708498984761,2.0,261.0,23.727272727272727,81.0,0.0,8.0,28.698748784889244,11.0
51,LC Hatcher,Liam Hatcher,182.0,30.333333333333332,77.0,-1.0,21.5,31.88521078284832,6.0,439.0,54.875,99.0,-1.0,59.0,37.111559616147325,8.0,,,,,,,
52,P Hatzoglou,Peter Hatzoglou,51.0,25.5,45.0,6.0,25.5,27.577164466275352,2.0,337.0,33.7,99.0,0.0,32.0,31.251844390016053,10.0,555.0,37.0,70.0,4.0,36.0,20.836095055044673,15.0
53,TM Head,Travis Head,39.0,9.75,19.0,1.0,9.5,7.365459931328117,4.0,14.0,4.666666666666667,6.0,3.0,5.0,1.5275252316519468,3.0,122.0,30.5,58.0,3.0,30.5,22.752289262108697,4.0
54,MC Henriques,Moises Henriques,398.0,36.18181818181818,72.0,2.0,33.0,24.758102438669173,11.0,426.0,28.4,82.0,0.0,21.0,29.91846061738949,15.0,624.0,41.6,111.0,5.0,29.0,34.52287026636939,15.0
55,NR Hobson,Nick Hobson,101.0,25.25,63.0,1.0,18.5,29.01005572785639,4.0,211.0,21.1,71.0,1.0,7.5,24.637144495433898,10.0,55.0,27.5,51.0,4.0,27.5,33.23401871576773,2.0
56,Shai Hope,Shai Hope,,,,,,,,,,,,,,,,,,,,,
57,AJ Hosein,Akeal Hosein,74.0,74.0,74.0,74.0,74.0,,1.0,698.0,77.55555555555556,140.0,21.0,77.0,37.051015880509645,9.0,,,,,,,
58,Rishad Hossain,Rishad Hossain,,,,,,,,,,,,,,,,,,,,,
59,DP Hughes,Daniel Hughes,281.0,40.142857142857146,109.0,1.0,46.0,41.94611055242417,7.0,93.0,31.0,37.0,23.0,33.0,7.211102550927978,3.0,367.0,30.583333333333332,86.0,0.0,14.0,34.28611787280501,12.0
60,Matthew Hurst,Matthew Hurst,,,,,,,,,,,,,,,,,,,,,
61,JP Inglis,Josh Inglis,298.0,29.8,84.0,3.0,24.5,25.371900467511956,10.0,621.0,41.4,109.0,0.0,26.0,37.60471095108012,15.0,172.0,21.5,109.0,0.0,7.5,36.77732220501418,8.0
62,Keaton Jennings,Keaton Jennings,,,,,,,,,,,,,,,,,,,,,
63,CP Jewell,Caleb Jewell,252.0,25.2,67.0,0.0,22.0,23.432171616533257,10.0,414.0,37.63636363636363,100.0,5.0,20.0,37.382543325120956,11.0,321.0,29.181818181818183,81.0,2.0,34.0,27.32331671601448,11.0
64,SH Johnson,Spencer Johnson,743.0,67.54545454545455,124.0,25.0,58.0,39.772763636347015,11.0,399.0,39.9,90.0,4.0,28.0,26.52231764633953,10.0,,,,,,,
