,season,match_id,player,prev_game_fp,last_2g_avg_fp,curr_seas_total_fp,curr_seas_avg_fp,curr_seas_max_fp,curr_seas_min_fp,curr_seas_std_fp,last_3g_avg_fp
0,6.0,1023589.0,AC Agar,,,,,,,,
0,6.0,1023593.0,AC Agar,63.0,63.0,63.0,63.0,63.0,63.0,,63.0
0,6.0,1023597.0,AC Agar,10.0,36.5,73.0,36.5,63.0,10.0,37.476659402887016,36.5
0,6.0,1023613.0,AC Agar,37.0,23.5,110.0,36.666666666666664,63.0,10.0,26.501572280401277,36.666666666666664
0,6.0,1023625.0,AC Agar,45.0,41.0,155.0,38.75,63.0,10.0,22.035955466766882,30.666666666666668
0,6.0,1023631.0,AC Agar,37.0,41.0,192.0,38.4,63.0,10.0,19.099738218101315,39.666666666666664
0,6.0,1023641.0,AC Agar,60.0,48.5,252.0,42.0,63.0,10.0,19.224983745116667,47.333333333333336
0,6.0,1023645.0,AC Agar,43.0,51.5,295.0,42.142857142857146,63.0,10.0,17.55399832354034,46.666666666666664
0,6.0,1023649.0,AC Agar,32.0,37.5,327.0,40.875,63.0,10.0,16.64278050258258,45.0
0,6.0,1023589.0,AJ Turner,,,,,,,,
0,6.0,1023593.0,AJ Turner,76.0,76.0,76.0,76.0,76.0,76.0,,76.0
0,6.0,1023597.0,AJ Turner,6.0,41.0,82.0,41.0,76.0,6.0,49.49747468305833,41.0
0,6.0,1023605.0,AJ Turner,60.0,33.0,142.0,47.333333333333336,76.0,6.0,36.67878587594378,47.333333333333336
0,6.0,1023613.0,AJ Turner,70.0,65.0,212.0,53.0,76.0,6.0,32.020826556060875,45.333333333333336
0,6.0,1023625.0,AJ Turner,24.0,47.0,236.0,47.2,76.0,6.0,30.61372241332308,51.333333333333336
0,6.0,1023631.0,AJ Turner,10.0,17.0,246.0,41.0,76.0,6.0,31.311339798865202,34.666666666666664
0,6.0,1023641.0,AJ Turner,15.0,12.5,261.0,37.285714285714285,76.0,6.0,30.225344143142994,16.333333333333332
0,6.0,1023645.0,AJ Turner,45.0,30.0,306.0,38.25,76.0,6.0,28.115831839019098,23.333333333333332
0,6.0,1023649.0,AJ Turner,22.0,33.5,328.0,36.44444444444444,76.0,6.0,26.85196040846511,27.333333333333332
0,6.0,1023589.0,AJ Tye,,,,,,,,
0,6.0,1023593.0,AJ Tye,19.0,19.0,19.0,19.0,19.0,19.0,,19.0
0,6.0,1023597.0,AJ Tye,110.0,64.5,129.0,64.5,110.0,19.0,64.34671708797582,64.5
0,6.0,1023605.0,AJ Tye,47.0,78.5,176.0,58.666666666666664,110.0,19.0,46.60829682935575,58.666666666666664
0,6.0,1023613.0,AJ Tye,58.0,52.5,234.0,58.5,110.0,19.0,38.05697483160391,71.66666666666667
0,6.0,1023625.0,AJ Tye,5.0,31.5,239.0,47.8,110.0,5.0,40.72714082770849,36.666666666666664
0,6.0,1023631.0,AJ Tye,114.0,59.5,353.0,58.833333333333336,114.0,5.0,45.3582039620912,59.0
0,6.0,1023641.0,AJ Tye,54.0,84.0,407.0,58.142857142857146,114.0,5.0,41.44646575776424,57.666666666666664
0,6.0,1023645.0,AJ Tye,6.0,30.0,413.0,51.625,114.0,5.0,42.57073944792194,58.0
0,6.0,1023649.0,AJ Tye,34.0,20.0,447.0,49.666666666666664,114.0,5.0,40.252329125157466,31.333333333333332
0,6.0,1023581.0,BJ Dwarshuis,,,,,,,,
0,6.0,1023587.0,BJ Dwarshuis,63.0,63.0,63.0,63.0,63.0,63.0,,63.0
0,6.0,1023593.0,BJ Dwarshuis,29.0,46.0,92.0,46.0,63.0,29.0,24.041630560342615,46.0
0,6.0,1023601.0,BJ Dwarshuis,46.0,37.5,138.0,46.0,63.0,29.0,17.0,46.0
0,6.0,1023609.0,BJ Dwarshuis,88.0,67.0,226.0,56.5,88.0,29.0,25.17273657484753,54.333333333333336
0,6.0,1023621.0,BJ Dwarshuis,7.0,47.5,233.0,46.6,88.0,7.0,31.069277429641005,47.0
0,6.0,1023629.0,BJ Dwarshuis,79.0,43.0,312.0,52.0,88.0,7.0,30.776614498674153,58.0
0,6.0,1023643.0,BJ Dwarshuis,19.0,49.0,331.0,47.285714285714285,88.0,7.0,30.739303211113324,35.0
0,6.0,1023647.0,BJ Dwarshuis,122.0,70.5,453.0,56.625,122.0,7.0,38.82906680016182,73.33333333333333
0,6.0,1023649.0,BJ Dwarshuis,49.0,85.5,502.0,55.77777777777778,122.0,7.0,36.41008712492246,63.333333333333336
0,6.0,1023587.0,BJ Haddin,,,,,,,,
0,6.0,1023593.0,BJ Haddin,35.0,35.0,35.0,35.0,35.0,35.0,,35.0
0,6.0,1023601.0,BJ Haddin,7.0,21.0,42.0,21.0,35.0,7.0,19.79898987322333,21.0
0,6.0,1023609.0,BJ Haddin,1.0,4.0,43.0,14.333333333333334,35.0,1.0,18.14754345175493,14.333333333333334
0,6.0,1023621.0,BJ Haddin,57.0,29.0,100.0,25.0,57.0,1.0,25.974346318370873,21.666666666666668
0,6.0,1023629.0,BJ Haddin,41.0,49.0,141.0,28.2,57.0,1.0,23.605084198112916,33.0
0,6.0,1023643.0,BJ Haddin,4.0,22.5,145.0,24.166666666666668,57.0,1.0,23.310226654124723,34.0
0,6.0,1023647.0,BJ Haddin,10.0,7.0,155.0,22.142857142857142,57.0,1.0,21.94256572227119,18.333333333333332
0,6.0,1023649.0,BJ Haddin,7.0,8.5,162.0,20.25,57.0,1.0,21.008501680442205,7.0
0,6.0,1023581.0,DP Hughes,,,,,,,,
0,6.0,1023601.0,DP Hughes,64.0,64.0,64.0,64.0,64.0,64.0,,64.0
0,6.0,1023609.0,DP Hughes,16.0,40.0,80.0,40.0,64.0,16.0,33.94112549695428,40.0
0,6.0,1023621.0,DP Hughes,115.0,65.5,195.0,65.0,115.0,16.0,49.50757517794625,65.0
0,6.0,1023629.0,DP Hughes,51.0,83.0,246.0,61.5,115.0,16.0,41.02438299353203,60.666666666666664
0,6.0,1023643.0,DP Hughes,20.0,35.5,266.0,53.2,115.0,16.0,40.08366250731088,62.0
0,6.0,1023647.0,DP Hughes,34.0,27.0,300.0,50.0,115.0,16.0,36.698773821478014,35.0
0,6.0,1023649.0,DP Hughes,46.0,40.0,346.0,49.42857142857143,115.0,16.0,33.53534027886175,33.333333333333336
0,6.0,1023589.0,IR Bell,,,,,,,,
