,Name,Price,Team,Wk_f,Bat_f,Bowl_f,Role,weight,Available,In_Team,exp_pts
9,Beau Webster,153400,Melbourne Stars,0,1,1,ALLR,1,1,1,200.24038600000006
11,Ben Dwarshuis,142900,Sydney Sixers,0,0,1,BOWL,1,1,1,217.06952600000005
43,Henry Thornton,102600,Adelaide Strikers,0,0,1,BOWL,1,1,0,258.1235886666668
44,Hilton Cartwright,95200,Melbourne Stars,0,1,0,BAT,1,1,1,151.27567816666675
57,Jamie Overton,214600,Adelaide Strikers,0,1,1,ALLR,1,1,1,328.86262
58,Jason Behrendorff,166500,Perth Scorchers,0,0,1,BOWL,1,1,1,241.84447266666666
78,Lloyd Pope,131700,Adelaide Strikers,0,0,1,BOWL,1,1,0,289.879606
92,Matthew Short,288700,Adelaide Strikers,0,1,1,ALLR,1,1,1,345.41010400000016
112,Paul Walter,174700,Brisbane Heat,0,1,1,ALLR,1,1,0,241.53013000000004
114,Peter Siddle,72400,Melbourne Stars,0,0,1,BOWL,1,1,1,191.42315293333334
120,Sam Harper,66400,Melbourne Stars,1,1,0,WK,1,1,1,141.79815516666636
134,Tom Curran,152200,Melbourne Stars,0,1,1,ALLR,1,1,1,255.86014600000001
