,Name,Price,Team,Wk_f,Bat_f,Bowl_f,Role,weight,Available,In_Team,exp_pts,next_rnd_exp_pts
0,Akeal Hosein,195900,Sydney Sixers,0,0,1,BOWL,1,1,0,202.13259999999997,102.10080999999998
1,Ben Dwarshuis,162700,Sydney Sixers,0,0,1,BOWL,1,1,1,202.8105849999999,102.34958999999994
2,Hayden Kerr,103500,Sydney Sixers,0,1,1,ALLR,1,1,0,212.32202999999993,106.83127499999996
3,Henry Thornton,115700,Adelaide Strikers,0,0,1,BOWL,1,1,1,181.939115,48.18422999999999
4,Jack Edwards,153800,Sydney Sixers,0,1,1,ALLR,1,1,0,230.74897499999992,116.17323499999996
5,Jamie Overton,225400,Adelaide Strikers,0,1,1,ALLR,1,1,1,225.27553999999992,58.50462999999999
6,Lloyd Pope,145600,Adelaide Strikers,0,0,1,BOWL,1,1,1,182.04118499999998,49.493219999999994
7,Matthew Short,254600,Adelaide Strikers,0,1,1,ALLR,1,1,1,218.2217549999997,58.5680399999999
8,Mitch Owen,90700,Hobart Hurricanes,0,1,1,ALLR,1,1,0,187.49990999999966,63.9665449999999
9,Peter Siddle,85300,Melbourne Stars,0,0,1,BOWL,1,1,1,153.57127500000004,74.74861500000003
10,Sam Harper,81700,Melbourne Stars,1,1,0,WK,1,1,1,160.66596500000014,76.99134500000007
11,Tom Curran,146900,Melbourne Stars,0,1,1,ALLR,1,1,1,208.47894999999988,101.74592999999996
