,Name,Price,Team,Wk_f,Bat_f,Bowl_f,Role,weight,Available,In_Team,exp_pts,next_rnd_exp_pts
0,Ben Dwarshuis,178600,Sydney Sixers,0,0,1,BOWL,1,1,1,72.7755,38.022
1,Fergus O'Neill,128000,Melbourne Renegades,0,0,1,BOWL,1,1,1,111.42150000000001,52.9885
2,Hayden Kerr,113700,Sydney Sixers,0,1,1,ALLR,1,1,1,75.9295,40.3145
3,Jack Edwards,141700,Sydney Sixers,0,1,1,ALLR,1,1,1,78.894,42.109
4,Josh Brown,110900,Melbourne Renegades,0,1,0,BAT,1,1,1,81.02799999999999,37.204
5,Lockie Ferguson,159000,Sydney Thunder,0,0,1,BOWL,1,1,0,177.934,119.38499999999999
6,Marcus Stoinis,121300,Melbourne Stars,0,1,1,ALLR,1,1,1,72.2915,39.473
7,Peter Siddle,98100,Melbourne Stars,0,0,1,BOWL,1,1,1,85.4015,41.5105
8,Sam Billings,153600,Sydney Thunder,1,1,0,WK,1,1,0,134.75549999999998,90.92499999999998
9,Sam Harper,74300,Melbourne Stars,1,1,0,WK,1,1,1,85.0195,40.3255
10,Wes Agar,146800,Sydney Thunder,0,0,1,BOWL,1,1,0,214.6415,143.571
11,Will Sutherland,174200,Melbourne Renegades,0,1,1,ALLR,1,1,1,75.27575,34.21875
