,Name,Price,Team,Wk_f,Bat_f,Bowl_f,Role,weight,Available,In_Team,exp_pts,next_rnd_exp_pts
0,David Warner,151900,Sydney Thunder,0,1,0,BAT,1,1,0,121.867,82.11250000000001
1,Jack Edwards,141700,Sydney Sixers,0,1,1,ALLR,1,1,1,78.894,42.109
2,Josh Brown,114400,Melbourne Renegades,0,1,0,BAT,1,1,1,81.02799999999999,37.204
3,Lockie Ferguson,134300,Sydney Thunder,0,0,1,BOWL,1,1,1,177.934,119.38499999999999
4,Marcus Stoinis,129500,Melbourne Stars,0,1,1,ALLR,1,1,1,72.2915,39.473
5,Matthew Gilkes,64300,Sydney Thunder,1,1,0,WK,1,1,0,128.55949999999999,84.389
6,Peter Siddle,100200,Melbourne Stars,0,0,1,BOWL,1,1,1,85.4015,41.5105
7,Sam Billings,161800,Sydney Thunder,1,1,0,WK,1,1,1,134.75549999999998,90.92499999999998
8,Sam Harper,71700,Melbourne Stars,1,1,0,WK,1,1,1,85.0195,40.3255
9,Spencer Johnson,157800,Brisbane Heat,0,0,1,BOWL,1,1,0,116.76650000000001,57.996500000000005
10,Wes Agar,159200,Sydney Thunder,0,0,1,BOWL,1,1,1,214.6415,143.571
11,Will Sutherland,148400,Melbourne Renegades,0,1,1,ALLR,1,1,1,75.27575,34.21875
