Last_Name,First_Name,First_Name_Short,Full_Name,player,Price,Team,Role,Available
Abbott,Sean,SA,Sean Abbott,SA Abbott,131800,Sydney Sixers,BOWL,1
Agar,Ashton,AC,Ashton Agar,AC Agar,124100,Perth Scorchers,BOWL,1
Agar,Wes,WA,Wes Agar,WA Agar,99700,Sydney Thunder,BOWL,1
Allen,Finn,,Finn Allen,Finn Allen,152000,Perth Scorchers,BAT,1
Allen,Fabian,,Fabian Allen,Fabian Allen,117500,Adelaide Strikers,ALLR,0
Alsop,Tom,,Tom Alsop,Tom Alsop,117500,Brisbane Heat,WK,1
Andrews,Tom,,Tom Andrews,Tom Andrews,39500,Sydney Thunder,BOWL,0
Bancroft,Cameron,CT,Cameron Bancroft,CT Bancroft,103400,Sydney Thunder,WK,1
Bartlett,Xavier,XC,Xavier Bartlett,XC Bartlett,202300,Brisbane Heat,BOWL,1
Bazley,James,JJ,James Bazley,JJ Bazley,58500,Adelaide Strikers,ALLR,1
Beardman,Mahli,,Mahli Beardman,Mahli Beardman,39500,Perth Scorchers,BOWL,0
Behrendorff,Jason,JP,Jason Behrendorff,JP Behrendorff,160800,Perth Scorchers,BOWL,1
Bethell,Jacob,,Jacob Bethell,Jacob Bethell,117500,Melbourne Renegades,ALLR,0
Billings,Sam,SW,Sam Billings,SW Billings,113900,Sydney Thunder,WK,1
Bird,Jackson,JM,Jackson Bird,JM Bird,152100,Sydney Sixers,BOWL,0
Boland,Scott,SM,Scott Boland,SM Boland,84700,Melbourne Stars,BOWL,0
Boyce,Cameron,CJ,Cameron Boyce,CJ Boyce,119800,Adelaide Strikers,BOWL,1
Brown,Josh,J,Josh Brown,J Brown,112200,Melbourne Renegades,BAT,1
Bryant,Max,M,Max Bryant,M Bryant,102300,Brisbane Heat,BAT,1
Buckingham,Jordan,,Jordan Buckingham,Jordan Buckingham,39500,Adelaide Strikers,BOWL,0
Carey,Alex,AT,Alex Carey,AT Carey,167500,Adelaide Strikers,WK,0
Carlisle,Iain,,Iain Carlisle,Iain Carlisle,39500,Hobart Hurricanes,BOWL,0
Cartwright,Hilton,HWR,Hilton Cartwright,HWR Cartwright,104600,Melbourne Stars,BAT,1
Chaudhary,Nikhil,Nikhil,Nikhil Chaudhary,Nikhil Chaudhary,142800,Hobart Hurricanes,ALLR,1
Chohan,Jafer,,Jafer Chohan,Jafer Chohan,117500,Sydney Sixers,BOWL,1
Clarke,Joe,JM,Joe Clarke,JM Clarke,117500,Melbourne Stars,WK,1
Connolly,Cooper,C,Cooper Connolly,C Connolly,118700,Perth Scorchers,ALLR,1
Couch,Brody,BL,Brody Couch,BL Couch,85000,Melbourne Stars,BOWL,1
Crone,Xavier,,Xavier Crone,Xavier Crone,39500,Melbourne Renegades,BOWL,0
Curran,Tom,TK,Tom Curran,TK Curran,152000,Melbourne Stars,ALLR,1
David,Tim,TH,Tim David,TH David,72400,Hobart Hurricanes,BAT,1
Davies,Joel,JA,Joel Davies,JA Davies,58500,Sydney Sixers,ALLR,0
Davies,Ollie,O,Ollie Davies,O Davies,78100,Sydney Thunder,BAT,1
Dixon,Harry,,Harry Dixon,Harry Dixon,39500,Melbourne Renegades,BAT,0
Doggett,Brendan,B,Brendan Doggett,B Doggett,71000,Adelaide Strikers,BOWL,0
Dooley,Paddy,PG,Paddy Dooley,PG Dooley,88000,Hobart Hurricanes,BOWL,1
Doran,Jake,,Jake Doran,Jake Doran,39500,Hobart Hurricanes,WK,0
Duckett,Ben,BM,Ben Duckett,BM Duckett,152000,Melbourne Stars,WK,0
