Team,Opposition,Venue,Home_f,Round
Adelaide Strikers,Sydney Thunder,Other,0,1
Adelaide Strikers,Melbourne Stars,Adelaide Oval,1,2
Adelaide Strikers,Brisbane Heat,GABBA,0,2
Adelaide Strikers,Hobart Hurricanes,Adelaide Oval,1,3
Adelaide Strikers,Perth Scorchers,Adelaide Oval,1,4
Adelaide Strikers,Melbourne Renegades,Marvel,0,4
Adelaide Strikers,Hobart Hurricanes,Hobart,0,5
Adelaide Strikers,Brisbane Heat,Adelaide Oval,1,7
Adelaide Strikers,Sydney Sixers,Adelaide Oval,1,8
Adelaide Strikers,Perth Scorchers,Perth Stadium,0,9
Melbourne Stars,Perth Scorchers,Perth Stadium,0,1
Melbourne Stars,Brisbane Heat,Melbourne Cricket Ground,1,1
Melbourne Stars,Adelaide Strikers,Adelaide Oval,0,2
Melbourne Stars,Sydney Sixers,SCG,0,3
Melbourne Stars,Sydney Thunder,Other,0,3
Melbourne Stars,Brisbane Heat,GABBA,0,4
Melbourne Stars,Melbourne Renegades,Melbourne Cricket Ground,1,5
Melbourne Stars,Sydney Sixers,Melbourne Cricket Ground,1,6
Melbourne Stars,Melbourne Renegades,Marvel,0,7
Melbourne Stars,Hobart Hurricanes,Melbourne Cricket Ground,1,9
Sydney Sixers,Melbourne Renegades,SCG,1,1
Sydney Sixers,Sydney Thunder,Sydney Showground,0,2
Sydney Sixers,Melbourne Stars,SCG,1,3
Sydney Sixers,Brisbane Heat,GABBA,0,3
Sydney Sixers,Hobart Hurricanes,Hobart,0,4
Sydney Sixers,Brisbane Heat,Other,0,5
Sydney Sixers,Melbourne Stars,Melbourne Cricket Ground,0,6
Sydney Sixers,Perth Scorchers,SCG,1,7
Sydney Sixers,Adelaide Strikers,Adelaide Oval,0,8
Sydney Sixers,Sydney Thunder,SCG,1,9
Brisbane Heat,Melbourne Stars,Melbourne Cricket Ground,0,1
Brisbane Heat,Adelaide Strikers,GABBA,1,2
Brisbane Heat,Sydney Sixers,Perth Stadium,0,3
Brisbane Heat,Perth Scorchers,GABBA,1,3
Brisbane Heat,Melbourne Stars,GABBA,1,4
Brisbane Heat,Sydney Sixers,Other,0,5
Brisbane Heat,Sydney Thunder,GABBA,1,6
Brisbane Heat,Adelaide Strikers,Adelaide Oval,0,7
Brisbane Heat,Hobart Hurricanes,GABBA,1,8
Brisbane Heat,Melbourne Renegades,Marvel,0,9
Perth Scorchers,Melbourne Stars,Perth Stadium,1,1
Perth Scorchers,Hobart Hurricanes,Hobart,0,2
Perth Scorchers,Melbourne Renegades,Marvel,0,2
Perth Scorchers,Brisbane Heat,Perth Stadium,1,3
Perth Scorchers,Adelaide Strikers,Adelaide Oval,0,4
Perth Scorchers,Sydney Thunder,Perth Stadium,1,5
Perth Scorchers,Melbourne Renegades,Perth Stadium,1,6
Perth Scorchers,Sydney Sixers,SCG,0,7
Perth Scorchers,Sydney Thunder,Sydney Showground,0,8
Perth Scorchers,Adelaide Strikers,Perth Stadium,1,9
Sydney Thunder,Adelaide Strikers,Other,0,1
Sydney Thunder,Sydney Sixers,Sydney Showground,1,2
Sydney Thunder,Melbourne Stars,Other,0,3
Sydney Thunder,Melbourne Renegades,Sydney Showground,1,4
Sydney Thunder,Perth Scorchers,Perth Stadium,0,5
Sydney Thunder,Brisbane Heat,GABBA,0,6
Sydney Thunder,Hobart Hurricanes,Sydney Showground,1,6
Sydney Thunder,Hobart Hurricanes,Hobart,0,7
Sydney Thunder,Perth Scorchers,Sydney Showground,1,8
Sydney Thunder,Sydney Sixers,SCG,0,9
Hobart Hurricanes,Melbourne Renegades,Other,0,1
Hobart Hurricanes,Perth Scorchers,Hobart,1,2
Hobart Hurricanes,Adelaide Strikers,Adelaide Oval,0,3
Hobart Hurricanes,Sydney Sixers,Hobart,1,4
Hobart Hurricanes,Adelaide Strikers,Hobart,1,5
Hobart Hurricanes,Sydney Thunder,Sydney Showground,0,6
Hobart Hurricanes,Sydney Thunder,Hobart,1,7
Hobart Hurricanes,Melbourne Renegades,Hobart,1,8
Hobart Hurricanes,Brisbane Heat,GABBA,0,8
Hobart Hurricanes,Melbourne Stars,Melbourne Cricket Ground,0,9
Melbourne Renegades,Sydney Sixers,SCG,0,1
Melbourne Renegades,Hobart Hurricanes,Other,0,1
Melbourne Renegades,Perth Scorchers,Marvel,1,2
Melbourne Renegades,Sydney Thunder,Sydney Showground,0,4
Melbourne Renegades,Adelaide Strikers,Marvel,1,4
Melbourne Renegades,Melbourne Stars,Melbourne Cricket Ground,0,5
Melbourne Renegades,Perth Scorchers,Perth Stadium,0,6
Melbourne Renegades,Melbourne Stars,Marvel,1,7
Melbourne Renegades,Hobart Hurricanes,Hobart,0,8
Melbourne Renegades,Brisbane Heat,Marvel,1,9
